Num instance,Num GPU,Model,Placement,Instance size,Batch size,Num proc
0,0,densenet169,0,7,128,2
0,1,densenet169,0,7,128,2
0,2,mobilenetv2,0,4,64,4
0,2,densenet121,4,3,16,3
0,3,mobilenetv2,0,4,64,4
0,3,densenet121,4,3,16,3
0,4,densenet121,4,3,16,3
0,4,bert,1,1,128,3
0,4,bert,2,1,128,3
0,4,bert,0,1,128,3
0,4,bert,6,1,128,3
0,5,densenet201,4,3,16,3
0,5,bert,1,1,128,3
0,5,densenet201,2,1,8,1
0,5,bert,0,1,128,3
0,5,bert,6,1,128,3
0,6,densenet201,4,3,16,3
0,6,vgg16,1,1,32,1
0,6,vgg19,2,1,32,1
0,6,mobilenetv2,0,1,4,2
0,6,resnet101,6,1,16,1
0,7,densenet201,4,3,16,3
0,7,vgg19,1,1,32,1
0,7,vgg19,2,1,32,1
0,7,vgg19,0,1,32,1
0,7,vgg19,6,1,32,1
1,0,inceptionv3,4,3,64,5
1,0,vgg19,1,1,32,1
1,0,vgg19,2,1,32,1
1,0,vgg19,0,1,32,1
1,0,vgg19,6,1,32,1
1,1,inceptionv3,4,3,64,5
1,1,vgg19,1,1,32,1
1,1,vgg16,2,1,32,1
1,1,vgg19,0,1,32,1
1,1,vgg19,6,1,32,1
1,2,inceptionv3,4,3,64,5
1,2,vgg16,0,2,32,2
1,2,vgg16,1,1,32,1
1,2,vgg16,6,1,32,1
1,3,resnet101,4,3,32,2
1,3,vgg16,2,2,32,2
1,3,vgg16,0,2,32,2
1,4,resnet101,4,3,32,2
1,4,resnet50,1,1,32,1
1,4,resnet50,2,1,32,1
1,4,vgg16,0,1,32,1
1,4,resnet50,6,1,32,1
1,5,resnet101,4,3,32,2
1,5,resnet50,1,1,32,1
1,5,resnet50,2,1,32,1
1,5,resnet50,0,1,32,1
1,5,resnet50,6,1,32,1
1,6,resnet152,4,3,32,2
1,6,resnet50,1,1,32,1
1,6,resnet50,2,1,32,1
1,6,resnet50,0,1,32,1
1,6,resnet50,6,1,32,1
1,7,resnet152,4,3,32,2
1,7,resnet152,0,2,16,2
1,7,resnet152,1,1,16,1
1,7,resnet152,6,1,16,1
